acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
2.86e-05,https://api.spotify.com/v1/audio-analysis/5ghIJDpPoe3CfHMGu71E6T,0.516,301920,0.906,5ghIJDpPoe3CfHMGu71E6T,0.000101,1,0.105,-4.525,1,0.0658,116.775,4,https://api.spotify.com/v1/tracks/5ghIJDpPoe3CfHMGu71E6T,audio_features,spotify:track:5ghIJDpPoe3CfHMGu71E6T,0.728
0.000182,https://api.spotify.com/v1/audio-analysis/4P5KoWXOxwuobLmHXLMobV,0.505,218920,0.825,4P5KoWXOxwuobLmHXLMobV,0.000948,4,0.0855,-5.721,0,0.0401,119.987,4,https://api.spotify.com/v1/tracks/4P5KoWXOxwuobLmHXLMobV,audio_features,spotify:track:4P5KoWXOxwuobLmHXLMobV,0.541
0.184,https://api.spotify.com/v1/audio-analysis/11LmqTE2naFULdEP94AUBa,0.494,281160,0.677,11LmqTE2naFULdEP94AUBa,0.0258,6,0.0926,-10.233,1,0.0452,101.539,4,https://api.spotify.com/v1/tracks/11LmqTE2naFULdEP94AUBa,audio_features,spotify:track:11LmqTE2naFULdEP94AUBa,0.316
0.406,https://api.spotify.com/v1/audio-analysis/15VRO9CQwMpbqUYA7e6Hwg,0.485,260947,0.738,15VRO9CQwMpbqUYA7e6Hwg,8.77e-05,1,0.514,-8.884,0,0.101,114.713,4,https://api.spotify.com/v1/tracks/15VRO9CQwMpbqUYA7e6Hwg,audio_features,spotify:track:15VRO9CQwMpbqUYA7e6Hwg,0.484
0.00203,https://api.spotify.com/v1/audio-analysis/2YodwKJnbPyNKe8XXSE9V7,0.68,257053,0.65,2YodwKJnbPyNKe8XXSE9V7,0.0,7,0.0622,-6.336,1,0.0378,123.238,4,https://api.spotify.com/v1/tracks/2YodwKJnbPyNKe8XXSE9V7,audio_features,spotify:track:2YodwKJnbPyNKe8XXSE9V7,0.486
0.624,https://api.spotify.com/v1/audio-analysis/551qy5vUgrUfEUc4dCNfht,0.538,308307,0.587,551qy5vUgrUfEUc4dCNfht,0.000104,3,0.308,-8.458,1,0.0747,108.634,3,https://api.spotify.com/v1/tracks/551qy5vUgrUfEUc4dCNfht,audio_features,spotify:track:551qy5vUgrUfEUc4dCNfht,0.388
1.87e-05,https://api.spotify.com/v1/audio-analysis/55yvzYuvJYG2RUEnMK78tr,0.409,166640,0.932,55yvzYuvJYG2RUEnMK78tr,1.6e-06,11,0.31,-4.538,0,0.0339,131.761,4,https://api.spotify.com/v1/tracks/55yvzYuvJYG2RUEnMK78tr,audio_features,spotify:track:55yvzYuvJYG2RUEnMK78tr,0.591
0.0824,https://api.spotify.com/v1/audio-analysis/1Ic9pKxGSJGM0LKeqf6lGe,0.447,233173,0.621,1Ic9pKxGSJGM0LKeqf6lGe,0.000239,1,0.0885,-12.109,1,0.034,113.169,4,https://api.spotify.com/v1/tracks/1Ic9pKxGSJGM0LKeqf6lGe,audio_features,spotify:track:1Ic9pKxGSJGM0LKeqf6lGe,0.364
0.293,https://api.spotify.com/v1/audio-analysis/4UJmPSJsBsIR1U0N79BU1g,0.53,175907,0.634,4UJmPSJsBsIR1U0N79BU1g,3.99e-05,1,0.362,-9.549,0,0.273,145.248,4,https://api.spotify.com/v1/tracks/4UJmPSJsBsIR1U0N79BU1g,audio_features,spotify:track:4UJmPSJsBsIR1U0N79BU1g,0.637
0.0217,https://api.spotify.com/v1/audio-analysis/5Rizj5FLb2AyNKu9esjYY6,0.416,170000,0.743,5Rizj5FLb2AyNKu9esjYY6,0.0,8,0.0646,-10.613,1,0.0476,111.879,4,https://api.spotify.com/v1/tracks/5Rizj5FLb2AyNKu9esjYY6,audio_features,spotify:track:5Rizj5FLb2AyNKu9esjYY6,0.259
